seconds,utc_unixtimestamp,donation_id,donation_amount,cumulative_donation_amount
10029,1597587429,675013,5.00,17623.46
10031,1597587431,675014,5.00,17628.46
10033,1597587433,675016,50.00,17678.46
10035,1597587435,675017,5.00,17683.46
10037,1597587437,675018,5.00,17688.46
10039,1597587439,675019,5.00,17693.46
10040,1597587440,675020,5.00,17698.46
10040,1597587440,675021,5.00,17703.46
10041,1597587441,675022,5.00,17708.46
10042,1597587442,675023,5.00,17713.46
10044,1597587444,675024,10.00,17723.46
10045,1597587445,675025,5.00,17728.46
10046,1597587446,675026,50.00,17778.46
10048,1597587448,675027,5.00,17783.46
10049,1597587449,675028,25.00,17808.46
10053,1597587453,675029,5.00,17813.46
10055,1597587455,675030,5.00,17818.46
10056,1597587456,675031,5.00,17823.46
10060,1597587460,675032,5.00,17828.46
10067,1597587467,675033,5.00,17833.46
10067,1597587467,675034,5.00,17838.46
10067,1597587467,675035,5.00,17843.46
10068,1597587468,675036,10.00,17853.46
10073,1597587473,675037,5.00,17858.46
10079,1597587479,675038,5.00,17863.46
10080,1597587480,675039,25.00,17888.46
10083,1597587483,675040,5.00,17893.46
10086,1597587486,675041,5.00,17898.46
10087,1597587487,675042,10.00,17908.46
10092,1597587492,675043,500.00,18408.46
10094,1597587494,675044,10.00,18418.46
10094,1597587494,675045,5.00,18423.46
10095,1597587495,675046,10.00,18433.46
10097,1597587497,675047,25.00,18458.46
10101,1597587501,675048,25.00,18483.46
10108,1597587508,675049,5.00,18488.46
10115,1597587515,675050,10.00,18498.46
10118,1597587518,675051,15.00,18513.46
10121,1597587521,675052,25.00,18538.46
10133,1597587533,675053,1000.00,19538.46
10172,1597587572,675055,10.00,19548.46
10173,1597587573,675056,30.00,19578.46
10176,1597587576,675057,5.00,19583.46
10180,1597587580,675058,50.00,19633.46
10187,1597587587,675059,25.00,19658.46
10195,1597587595,675061,5.00,19663.46
10212,1597587612,675062,50.00,19713.46
10367,1597587767,675063,500.00,20213.46
10368,1597587768,675064,5.00,20218.46
10399,1597587799,675066,25.00,20243.46
10438,1597587838,675067,5.00,20248.46
10440,1597587840,675068,5.00,20253.46
10453,1597587853,675070,25.00,20278.46
10455,1597587855,675071,10.00,20288.46
10464,1597587864,675072,10.00,20298.46
10510,1597587910,675073,25.00,20323.46
10550,1597587950,675074,250.00,20573.46
10667,1597588067,675075,10.00,20583.46
10740,1597588140,675076,10.00,20593.46
10757,1597588157,675077,35.00,20628.46
10760,1597588160,675078,5.00,20633.46
10778,1597588178,675079,5.00,20638.46
10905,1597588305,675080,10.00,20648.46
10948,1597588348,675081,500.00,21148.46
10961,1597588361,675082,35.00,21183.46
11165,1597588565,675083,25.00,21208.46
11296,1597588696,675084,25.00,21233.46
11361,1597588761,675085,10.00,21243.46
11458,1597588858,675086,888.00,22131.46
11504,1597588904,675087,5.00,22136.46
11547,1597588947,675088,5.00,22141.46
11566,1597588966,675089,30.00,22171.46
11575,1597588975,675090,25.00,22196.46
11605,1597589005,675091,5.00,22201.46
11614,1597589014,675092,50.00,22251.46
11692,1597589092,675093,25.00,22276.46
11855,1597589255,675094,10.00,22286.46
11874,1597589274,675095,100.00,22386.46
11882,1597589282,675096,20.00,22406.46
11888,1597589288,675097,25.00,22431.46
11901,1597589301,675098,30.00,22461.46
11943,1597589343,675099,5.00,22466.46
12008,1597589408,675100,25.00,22491.46
12023,1597589423,675101,15.00,22506.46
12127,1597589527,675102,15.00,22521.46
12147,1597589547,675103,101.00,22622.46
12271,1597589671,675104,30.00,22652.46
12315,1597589715,675105,10.00,22662.46
12349,1597589749,675107,10.00,22672.46
12564,1597589964,675108,75.00,22747.46
12582,1597589982,675109,5.00,22752.46
12704,1597590104,675110,5.00,22757.46
12754,1597590154,675111,25.00,22782.46
12769,1597590169,675112,5.00,22787.46
12818,1597590218,675113,10.00,22797.46
12829,1597590229,675114,20.00,22817.46
12838,1597590238,675115,25.00,22842.46
